dist,npc_hp,npc_stamina,npc_current_action,player_hp,player_stamina,player_action,new_action
241,0.44,0.27,3,0.43,0.26,2,0
60,0.53,0.91,5,0.95,0.01,0,5
182,0.14,0.75,6,0.81,0.33,0,7
98,0.41,0.17,5,0.87,0.95,4,6
202,0.79,0.57,5,0.59,0.5,2,6
33,0.57,0.11,3,0.64,0.81,5,3
183,0.17,0.71,6,0.22,0.26,4,0
154,0.31,0.62,1,0.87,0.93,6,1
83,0.3,0.41,3,0.36,0.73,1,1
54,0.7,0.92,3,0.89,0.04,7,5
150,0.29,0.38,3,0.77,0.92,8,1
112,0.78,0.64,6,0.8,0.32,1,7
55,0.46,0.74,0,0.45,0.86,1,4
55,0.54,0.98,0,0.67,0.95,6,5
57,0.56,0.91,5,0.16,0.12,7,5
21,0.28,0.68,3,0.72,0.02,3,4
69,0.18,0.4,6,0.72,0.26,0,0
181,0.95,0.56,3,0.94,0.16,0,1
107,0.63,0.85,3,0.9,0.96,1,1
75,0.81,0.84,1,0.42,0.92,8,1
209,0.33,0.3,6,0.45,0.68,3,0
78,0.92,0.18,0,0.34,0.66,6,1
144,0.06,0.26,0,0.49,0.57,5,0
56,0.55,0.48,3,0.45,0.34,2,0
106,0.18,0.7,3,0.61,0.01,1,1
44,0.42,0.27,0,0.87,0.37,7,3
165,0.11,0.7,3,0.25,0.11,0,1
111,0.53,0.54,5,0.17,0.65,7,6
113,0.39,0.57,6,0.76,0.04,8,0
46,0.38,0.59,1,0.08,0.05,3,4
190,0.96,0.96,3,0.89,0.07,8,1
21,0.9,0.38,1,0.18,0.61,3,0
49,0.57,0.29,5,0.4,0.25,1,6
33,0.98,0.08,0,0.67,0.87,2,3
150,0.2,0.31,3,0.39,0.43,1,1
49,0.86,0.78,0,0.13,0.24,8,5
59,0.46,0.47,3,0.23,0.97,2,4
44,0.4,0.49,5,0.76,0.33,1,5
168,0.52,0.03,3,0.07,0.58,6,1
173,0.16,0.35,6,0.78,0.8,4,0
113,0.62,0.9,3,0.4,0.26,1,1
40,0.89,0.7,5,0.75,0.25,1,5
156,0.58,0.13,0,0.98,0.9,2,0
120,0.75,0.3,3,0.38,0.75,6,1
208,0.17,0.23,6,0.02,0.3,6,0
72,0.25,0.75,3,0.56,0.63,3,1
92,0.12,0.36,6,0.84,0.2,8,0
42,0.97,0.85,5,0.84,0.97,5,6
171,0.12,0.26,6,0.31,0.94,1,0
162,0.86,0.07,6,0.54,0.73,6,0
64,0.92,0.33,6,0.53,0.53,3,0
23,0.09,0.81,3,0.51,0.56,6,5
68,0.89,0.81,3,0.75,0.66,1,1
48,0.26,0.54,5,0.55,0.52,3,5
36,0.78,0.76,6,0.32,0.56,0,7
131,0.89,0.19,1,0.18,0.37,6,1
60,0.71,0.7,6,0.7,0.58,3,7
193,0.09,0.34,0,0.44,0.03,1,1
64,0.38,0.4,5,0.96,0.85,8,1
251,0.83,0.53,1,0.89,0.16,0,1
148,0.91,0.65,5,0.31,0.16,1,6
179,0.25,0.3,3,0.85,0.07,5,0
244,0.37,0.92,6,0.46,0.43,3,7
74,0.6,0.32,5,0.81,0.23,0,6
144,0.61,0.36,0,0.71,0.46,1,1
28,0.92,0.03,3,0.37,0.08,8,4
166,0.01,0.63,0,0.66,0.82,1,1
20,0.2,0.95,3,0.89,0.23,8,4
184,0.21,0.41,5,0.86,0.65,4,6
193,0.57,0.9,6,0.84,0.02,4,0
179,0.75,0.48,6,0.73,0.45,6,7
31,0.29,0.41,5,0.41,0.22,2,6
159,0.44,0.08,6,0.32,0.4,2,0
126,0.27,0.49,0,0.94,0.7,0,1
78,0.79,0.3,5,0.86,0.82,0,6
79,0.7,0.42,6,0.9,0.41,5,7
82,0.64,0.63,3,0.62,0.55,3,1
85,0.86,0.55,6,0.37,0.78,3,7
200,0.92,0.51,0,0.81,0.38,6,1
17,0.72,0.48,3,0.85,0.52,3,0
102,0.23,0.33,5,0.3,0.03,3,6
83,0.62,0.48,5,0.21,0.64,7,6
87,0.81,0.49,3,0.85,0.01,4,1
180,0.54,0.77,3,0.46,0.11,4,1
86,0.92,0.76,5,0.17,0.77,8,1
118,0.57,0.99,5,0.69,0.58,7,6
216,0.08,0.85,1,0.16,0.25,2,1
69,0.6,0.31,0,0.66,0.91,7,1
256,0.32,0.62,3,0.03,0.82,2,1
182,0.66,0.26,0,0.24,0.09,8,1
32,0.75,0.85,1,0.2,0.67,6,4
215,0.43,0.13,1,0.27,0.38,5,0
213,0.71,0.71,5,0.45,0.39,7,6
78,0.73,0.76,6,0.22,0.9,8,7
285,0.99,0.14,6,0.31,0.04,1,0
46,0.07,0.99,6,0.51,0.21,2,0
47,0.82,0.57,1,0.87,0.46,4,3
40,0.34,0.03,5,0.94,0.76,2,6
90,0.94,0.24,0,0.62,0.06,8,1
168,0.08,0.33,1,0.42,0.73,1,1
85,0.82,0.63,0,0.21,0.7,8,1
97,0.91,0.14,5,0.89,0.07,8,1
27,0.2,0.73,0,0.19,0.99,1,4
213,0.22,0.99,1,0.79,0.34,8,1
39,0.12,0.9,0,0.21,0.98,3,4
69,0.73,0.33,0,0.23,0.87,1,1
195,0.76,0.95,3,0.13,0.68,6,1
151,0.08,0.33,0,0.26,0.69,5,1
97,0.64,0.72,6,0.03,0.72,3,7
72,0.46,0.26,0,0.45,0.21,1,0
61,0.89,0.78,1,0.93,0.38,1,1
28,0.18,0.44,5,0.13,0.31,0,5
37,0.35,0.55,3,0.64,0.8,5,2
212,0.32,0.3,1,0.55,0.29,6,1
159,0.05,0.93,3,0.64,0.94,0,1
61,0.97,0.82,0,0.73,0.23,5,1
58,0.84,0.48,5,0.9,0.35,3,5
202,0.98,0.12,3,0.49,0.85,4,0
31,0.39,0.6,1,0.76,0.01,7,5
121,0.35,0.83,5,0.98,0.6,2,6
104,0.21,0.89,0,0.74,0.9,1,1
179,0.29,0.08,6,0.99,0.84,7,0
38,0.85,0.71,0,0.18,0.46,1,5
158,0.24,0.46,1,0.61,0.05,0,1
40,0.83,0.44,0,0.18,0.61,3,0
33,0.71,0.25,0,0.99,0.3,7,3
70,0.52,0.8,1,0.48,0.31,0,1
133,0.5,0.47,1,0.82,0.04,7,1
9,0.31,0.35,0,0.8,0.11,6,4
21,0.87,0.27,6,0.6,0.18,8,0
180,0.77,0.29,5,0.4,0.17,2,6
162,0.77,1.0,6,0.18,0.22,5,0
72,0.83,0.66,6,0.78,0.43,4,7
36,0.52,0.21,6,0.14,0.37,7,0
24,0.6,0.75,5,0.28,0.02,2,6
17,0.18,0.65,6,0.05,0.63,6,7
112,0.29,0.04,5,0.25,0.67,2,6
87,0.77,0.59,3,0.32,0.68,2,1
48,0.5,0.06,0,0.92,0.41,5,3
43,0.11,0.05,6,0.99,0.27,3,0
36,0.99,0.87,1,0.79,0.34,7,5
67,0.17,0.32,6,0.83,0.54,5,0
129,0.5,0.75,5,0.35,0.86,8,1
99,0.55,0.89,0,0.27,0.2,2,1
52,0.22,0.12,1,0.5,0.66,8,4
70,0.79,0.22,3,0.6,0.89,8,1
43,0.03,0.12,3,0.74,0.86,6,4
104,0.3,0.98,0,0.18,0.24,2,1
69,0.14,0.18,3,0.25,0.92,5,0
83,0.02,0.4,5,0.82,0.09,1,6
76,0.59,0.86,1,0.28,0.4,7,1
120,0.28,0.12,3,0.45,0.02,1,0
16,0.81,0.69,0,0.78,0.09,8,4
139,0.97,0.86,3,0.33,0.85,6,1
180,0.19,0.66,0,0.72,0.61,3,1
46,0.04,0.85,1,0.46,0.57,3,4
67,0.41,0.34,5,0.62,0.67,2,6
103,0.74,0.96,5,0.46,0.82,1,6
97,0.45,0.45,3,0.07,0.74,3,1
65,0.75,0.04,6,0.96,0.18,2,0
42,0.14,0.28,3,0.03,0.61,8,4
133,0.18,0.87,1,0.04,0.19,7,1
194,0.97,0.88,0,0.18,0.65,5,1
60,0.43,0.1,0,0.28,0.06,1,3
175,0.53,0.77,5,0.44,0.59,2,6
72,0.17,0.25,0,0.73,0.51,2,0
188,0.59,0.4,3,0.45,0.99,2,1
77,0.85,0.48,0,0.28,0.09,1,1
69,0.92,0.43,6,0.94,0.53,3,7
104,0.85,0.41,6,0.12,0.17,8,0
23,0.62,0.24,0,0.94,0.59,0,3
75,0.46,0.2,1,0.91,0.78,0,0
32,0.38,0.76,6,0.29,0.8,5,7
159,0.13,0.85,6,0.66,0.36,6,7
211,0.26,0.46,1,0.86,0.87,2,1
135,0.14,0.8,1,0.67,0.15,1,1
175,0.81,0.33,0,0.12,0.55,0,1
278,0.78,0.74,1,0.07,0.08,0,1
49,0.78,0.77,1,0.69,0.73,0,4
84,0.82,0.33,5,0.35,0.85,4,6
270,0.39,0.38,3,0.75,0.03,4,1
59,0.78,0.49,0,0.31,0.86,1,4
102,0.31,0.61,1,0.32,0.55,4,1
21,0.44,0.58,6,0.58,0.35,0,7
109,0.22,0.91,0,0.87,0.0,2,1
18,0.75,0.95,6,0.65,0.31,4,7
237,0.11,0.52,6,0.85,0.06,8,0
73,0.12,0.4,0,0.3,0.92,1,1
97,0.17,0.22,0,0.97,0.05,5,0
43,0.47,0.88,0,0.34,0.38,4,3
46,0.89,0.29,5,0.7,0.86,8,4
82,0.25,0.17,1,0.32,0.57,5,0
229,0.67,0.04,1,0.23,0.94,6,1
106,0.84,0.61,5,0.74,0.29,4,6
119,0.16,0.94,3,0.86,0.46,7,1
287,0.79,0.84,1,0.17,0.3,3,1
56,0.92,0.93,5,0.74,0.55,6,4
162,0.14,0.49,3,0.5,0.85,7,1
267,0.24,0.88,1,0.74,0.37,6,1
100,0.28,0.26,3,0.93,0.15,1,0
168,0.98,0.56,5,0.81,0.54,1,6
156,0.08,0.55,1,0.89,0.96,8,1
173,0.62,0.95,1,0.8,0.93,0,1
98,0.43,0.65,1,0.48,0.3,6,1
83,0.59,0.74,3,0.73,0.47,5,1
83,0.31,0.27,3,0.03,0.21,7,0
76,0.8,0.26,0,0.35,0.6,1,0
113,0.78,0.32,5,0.64,0.05,5,6
207,0.03,0.26,1,0.49,0.45,8,1
177,0.59,0.37,1,0.47,0.8,2,1
249,0.96,0.48,0,0.67,0.72,8,1
95,0.41,0.98,0,0.59,0.0,7,1
197,0.46,0.75,6,0.73,0.87,8,7
163,0.21,0.48,3,0.65,0.97,6,1
133,0.94,0.72,0,0.47,0.01,8,1
81,0.32,0.18,5,0.96,0.2,8,1
19,0.63,0.85,0,0.43,0.42,1,4
76,0.73,0.65,0,0.86,0.79,0,1
77,0.59,0.93,0,0.92,0.07,2,1
36,0.62,0.25,0,0.73,0.4,1,3
108,0.17,0.73,5,0.05,0.95,6,1
100,0.78,0.87,1,0.97,0.65,0,1
74,0.17,0.01,5,0.65,0.62,6,1
66,0.31,0.87,3,0.51,0.27,7,1
102,0.2,0.99,0,0.67,0.58,7,1
89,0.24,0.45,1,0.24,0.54,0,1
16,0.61,0.73,1,0.47,0.09,5,2
247,0.97,0.86,6,0.79,0.62,7,7
44,0.02,0.62,6,0.4,0.22,2,0
83,0.84,0.03,0,0.4,0.62,5,0
44,0.36,0.61,5,0.65,0.42,3,5
22,0.64,0.33,0,0.04,0.65,3,0
141,0.97,0.78,3,0.45,0.95,4,1
25,0.61,0.07,0,0.34,0.81,8,4
54,0.64,0.76,5,0.18,0.29,2,6
114,0.28,0.9,6,0.99,0.94,4,7
70,0.03,0.29,3,0.3,0.45,0,0
130,0.87,0.25,1,0.23,0.63,6,1
59,0.19,0.85,6,0.9,0.61,3,7
115,0.92,0.21,6,0.96,0.82,7,0
213,0.98,0.08,5,0.7,0.81,8,1
88,0.18,0.1,3,1.0,0.19,5,0
67,0.19,0.78,1,0.08,0.7,1,1
22,0.49,0.22,0,0.5,0.93,5,3
106,0.42,0.07,6,0.92,0.28,7,0
39,0.77,0.39,6,0.16,0.28,0,0
89,0.19,0.1,3,0.13,0.67,6,1
70,0.89,0.47,0,0.69,0.01,8,1
214,0.14,0.88,5,0.25,0.12,6,1
57,0.01,0.34,6,0.26,0.53,0,0
59,0.5,0.29,5,0.5,0.75,2,6
126,0.34,0.83,0,0.46,0.58,7,1
46,0.43,0.87,5,0.77,0.31,4,6
77,0.77,0.58,0,0.49,0.96,6,1
134,0.9,0.63,1,0.44,0.03,4,1
126,0.92,0.47,6,0.05,0.36,6,7
137,0.29,0.29,0,0.96,0.44,4,0
228,0.39,0.65,1,0.35,1.0,3,1
48,0.33,0.06,1,0.85,0.81,1,3
83,0.66,0.8,3,0.79,0.08,2,1
63,0.71,0.55,0,1.0,0.31,3,1
162,0.25,0.42,0,0.02,0.45,3,1
31,0.48,0.92,0,0.23,0.06,6,4
265,0.26,0.22,3,0.96,0.75,5,0
212,0.23,0.41,3,0.62,0.48,1,1
99,0.44,0.19,3,0.49,0.99,4,0
137,0.94,0.88,1,0.67,0.09,4,1
49,0.39,0.29,1,0.44,0.68,7,3
94,0.68,0.82,1,0.75,0.42,2,1
22,0.18,0.55,6,0.56,0.07,6,0
193,0.4,0.19,5,0.06,0.6,2,6
193,0.56,0.11,5,0.99,0.65,5,6
197,0.68,0.71,3,0.55,0.69,3,1
63,0.56,0.91,6,0.26,0.44,0,7
82,0.02,0.58,5,0.5,0.98,0,6
152,0.28,0.72,6,0.73,0.38,2,7
205,0.61,0.89,3,0.33,0.34,0,1
152,0.9,0.87,5,0.98,0.39,0,6
49,0.52,0.87,1,0.72,0.83,2,4
108,0.62,0.49,0,0.78,0.81,2,1
245,0.04,0.9,3,0.76,0.51,2,1
160,0.29,0.44,1,0.07,0.1,2,1
208,0.73,0.28,5,0.87,0.21,8,1
59,0.01,0.27,5,0.09,0.47,8,4
33,0.52,0.43,0,0.12,0.38,6,4
147,0.19,0.55,3,0.84,0.96,4,1
145,0.46,0.98,1,0.89,0.49,8,1
173,0.44,0.66,5,0.38,0.0,5,6
172,0.57,0.33,6,0.67,0.74,3,0
104,0.59,0.28,3,0.52,0.66,7,0
92,0.31,0.9,0,0.48,0.51,4,1
18,0.58,0.77,3,0.46,0.24,6,5
103,0.55,0.89,0,0.67,0.86,7,1
28,0.72,0.98,3,0.93,0.04,3,5
204,0.06,0.89,0,0.57,0.91,2,1
87,0.41,0.96,3,0.39,0.44,8,1
141,0.32,0.67,6,0.49,0.57,1,7
96,0.31,0.65,3,0.73,0.85,5,1
159,0.1,0.92,0,0.7,0.6,7,1
170,0.42,0.88,0,0.79,0.57,3,1
135,0.23,0.62,5,0.48,0.23,4,6
57,0.95,0.26,6,0.39,0.96,1,0
36,0.43,0.09,0,0.47,0.69,1,3
148,0.8,0.23,0,0.73,0.21,5,0
151,0.32,0.84,0,0.81,0.37,5,1
73,0.34,0.67,5,0.06,0.57,6,1
113,0.77,0.19,6,0.74,0.17,2,0
124,0.85,0.09,3,0.33,0.32,7,0
91,0.07,0.18,1,0.04,0.76,7,0
103,0.05,0.15,1,0.66,0.03,6,1
62,0.84,0.11,0,0.14,0.29,4,0
84,0.98,0.62,6,0.37,0.04,2,0
103,0.1,0.85,1,0.96,0.2,7,1
248,0.12,0.05,6,0.19,0.64,0,0
67,0.66,0.95,5,0.82,0.54,1,6
148,0.25,0.89,3,0.2,0.85,1,1
39,0.37,0.82,6,0.63,0.92,4,7
250,0.47,0.17,6,0.01,0.98,8,0
236,0.93,0.01,0,0.78,0.66,0,0
177,0.93,0.7,6,0.6,0.96,6,7
203,0.04,0.84,0,0.29,0.7,3,1
48,0.92,0.12,1,0.35,0.76,2,3
207,0.17,0.46,3,0.61,0.86,1,1
105,0.24,0.87,3,0.19,0.87,8,1
71,0.59,0.87,6,0.95,0.88,6,7
217,0.39,0.83,3,0.32,0.59,0,1
162,0.87,0.06,1,0.98,0.18,6,1
193,0.83,0.8,5,0.84,0.15,2,6
154,0.72,0.06,0,0.85,0.38,3,0
86,0.78,0.36,3,0.13,0.53,5,1
121,0.98,0.97,0,0.51,0.34,4,1
168,0.86,0.6,5,0.59,0.15,8,1
115,0.65,0.11,3,0.59,0.14,2,0
228,0.43,0.74,6,0.39,0.99,4,7
12,0.15,0.37,6,0.99,0.05,6,0
207,0.12,0.67,6,0.24,0.43,2,7
163,0.53,0.01,6,0.24,0.04,6,0
270,0.7,0.85,5,0.26,0.82,0,6
31,0.28,0.81,1,0.99,0.88,7,0
246,0.36,0.51,1,0.58,0.98,7,1
65,0.87,0.39,5,0.65,0.34,6,1
70,0.43,0.65,6,0.37,0.97,4,7
88,0.94,0.83,5,0.58,0.55,7,6
18,0.44,0.19,3,0.28,0.93,3,0
76,0.33,0.33,3,0.67,0.34,1,1
149,0.17,0.13,5,0.12,0.39,2,6
72,0.21,0.9,0,0.92,0.25,7,1
162,0.02,0.39,3,0.21,0.05,0,1
137,0.75,0.08,1,0.87,0.28,5,0
147,0.73,0.1,0,0.49,0.07,1,0
97,0.71,0.35,1,0.65,0.98,1,1
42,0.35,0.91,0,0.14,0.76,4,3
128,0.05,0.56,6,0.91,0.02,8,0
93,0.67,0.43,6,0.99,0.1,6,0
141,0.78,0.32,3,0.83,0.93,3,1
116,0.63,0.22,6,0.81,0.07,0,0
221,0.7,0.11,6,0.91,0.17,0,0
27,0.87,0.08,3,0.54,0.28,1,3
124,0.15,0.87,0,0.71,0.17,7,1
113,0.77,0.61,6,0.39,0.95,7,7
87,0.61,0.03,6,0.29,0.15,2,0
136,0.07,0.85,3,0.91,0.67,6,1
164,0.04,0.62,1,0.09,0.58,4,1
120,0.54,0.05,1,0.49,0.16,0,0
151,0.81,0.87,3,0.87,0.43,7,1
137,0.98,0.77,6,0.46,0.1,6,0
203,0.45,0.91,0,0.34,0.95,6,1
54,0.52,0.63,5,0.45,0.67,1,5
70,0.57,0.61,3,0.65,0.27,1,1
15,0.07,0.77,1,0.01,0.23,8,4
46,0.46,0.71,5,0.2,0.13,3,5
118,0.61,0.5,0,0.07,0.26,6,1
147,0.48,0.07,3,0.46,0.66,5,0
39,0.92,0.05,3,0.71,0.08,5,3
224,0.02,0.88,5,0.38,0.98,5,6
88,0.02,0.97,3,0.98,0.0,0,1
31,0.07,0.23,6,0.43,0.39,8,0
26,0.57,0.42,3,0.16,0.64,8,4
116,0.04,0.53,0,0.57,0.57,6,1
192,0.91,0.95,0,0.44,0.84,1,1
164,0.67,0.95,6,0.91,0.07,1,0
156,0.45,0.84,0,0.62,0.62,2,1
179,0.67,0.67,1,0.72,0.46,6,1
109,0.3,0.28,0,0.23,0.44,3,0
233,0.49,0.16,3,0.94,0.41,1,0
22,0.11,0.1,6,0.54,0.56,4,0
44,0.76,0.63,6,0.87,0.66,2,7
174,0.1,0.14,5,0.2,0.11,3,6
53,0.67,0.88,3,0.85,0.45,7,4
152,0.53,0.91,5,0.91,0.93,8,1
77,0.26,0.5,6,0.23,0.05,4,0
128,0.34,0.07,0,0.43,0.76,3,0
48,0.92,0.96,5,0.04,0.11,1,5
68,0.4,0.52,6,0.72,0.58,7,7
242,0.86,0.51,0,0.55,0.92,5,1
106,0.86,0.55,5,0.19,0.48,6,1
27,0.95,0.22,0,0.84,0.04,2,3
202,0.43,0.9,0,0.95,0.93,4,1
4,0.41,0.4,6,0.74,0.57,2,7
165,0.86,0.42,3,0.73,0.51,3,1
197,0.9,0.9,3,0.63,0.3,5,1
93,0.21,0.83,5,0.26,0.34,3,6
134,0.68,0.26,0,0.78,0.21,8,1
170,0.2,0.95,0,0.37,0.65,0,1
186,0.21,0.19,6,0.44,0.82,7,0
88,0.02,0.37,6,0.14,0.83,2,0
131,0.51,0.31,6,0.71,0.2,3,0
263,0.38,0.0,1,0.55,0.55,0,0
196,0.99,0.67,6,1.0,0.8,2,7
249,0.8,0.35,1,0.94,0.56,0,1
44,0.09,0.52,5,0.37,0.34,7,6
216,0.65,0.52,1,0.36,0.04,3,1
128,0.98,0.99,1,0.46,0.65,7,1
64,0.87,0.91,6,0.89,0.5,0,7
77,0.3,0.16,6,0.88,0.7,0,0
88,0.83,0.22,5,0.66,0.8,4,6
112,0.9,0.86,1,0.5,0.61,8,1
51,0.74,0.97,5,0.84,0.0,0,5
236,0.54,0.11,1,0.65,0.83,4,0
43,0.89,0.82,1,0.43,0.15,3,4
229,0.13,0.31,1,0.74,0.01,3,1
90,0.26,0.61,6,0.73,0.72,7,7
29,0.89,0.01,6,0.52,0.26,7,0
232,0.59,0.73,0,0.11,0.71,2,1
55,0.18,0.56,0,0.36,0.01,8,4
54,0.02,0.45,3,0.64,0.26,5,2
191,0.59,0.09,0,0.75,0.87,0,0
196,0.18,0.86,0,0.97,0.94,6,1
53,0.73,0.56,0,0.52,0.84,2,4
244,0.75,0.3,6,0.16,0.43,8,0
130,0.32,0.62,0,0.72,0.19,8,1
54,0.55,0.89,1,0.19,0.66,7,5
186,0.51,0.42,1,0.35,0.34,6,1
47,0.43,0.23,0,0.22,0.87,7,3
145,0.83,0.96,1,0.69,0.73,3,1
109,0.1,0.84,3,0.46,0.27,5,1
92,0.87,0.91,0,0.97,0.82,5,1
58,0.97,0.18,6,0.68,0.1,7,0
167,0.74,0.8,0,0.71,0.24,2,1
52,0.22,0.5,3,0.55,0.11,5,2
91,0.5,0.74,6,0.93,0.22,1,0
114,0.02,0.11,0,0.52,0.42,5,0
86,0.88,0.93,0,0.21,0.89,2,1
116,0.27,0.93,1,0.32,0.23,5,1
100,0.68,0.96,3,0.72,0.33,0,1
176,0.36,0.36,1,0.09,0.88,1,1
146,0.52,0.21,3,0.03,0.32,4,0
34,0.49,0.96,1,0.6,0.89,0,5
50,0.83,0.43,0,0.61,0.95,4,3
111,0.04,0.56,3,0.67,0.67,2,1
84,0.24,0.48,6,0.8,0.15,7,0
54,0.24,0.95,6,0.33,0.53,5,7
261,0.64,0.94,6,0.6,0.62,0,7
90,0.53,0.73,5,0.76,0.52,0,6
135,0.81,0.38,5,0.09,0.67,2,6
123,0.14,0.04,6,0.14,1.0,5,0
172,0.9,1.0,1,0.87,0.93,2,1
90,0.07,0.17,3,0.87,0.06,1,0
16,0.79,0.43,6,0.79,0.75,2,7
84,0.9,0.84,3,0.51,0.82,2,1
237,0.04,0.1,5,0.59,0.45,1,6
145,0.1,0.81,3,0.07,0.87,6,1
89,0.02,0.34,5,0.83,0.53,6,1
69,0.12,0.83,3,0.11,0.83,8,1
112,0.91,0.56,0,0.48,0.03,8,1
43,0.81,0.57,3,0.37,0.88,1,4
144,0.53,0.71,1,0.04,0.96,8,1
96,0.09,0.67,1,0.12,0.78,3,1
